genotype,yield,Relative Humidity [%],Solar Radiation [W/m2],Rainfall [mm],Wind Speed [m/s],Wind Direction [degrees],Wind Gust [m/s],Soil Temperature [C],Soil Moisture [%VWC],Soil EC [mS/cm]
B14A/H95,104.7825078,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B14A/H95,118.4153254,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B14A/H95,164.5539756,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B14A/H95,183.8481467,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B14A/MO17,104.1999807,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B14A/MO17,44.34982418,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B14A/MO17,188.4448681,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B14A/MO17,191.5273917,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B14A/OH43,111.4137892,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B14A/OH43,118.2691348,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B14A/OH43,131.5523331,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B14A/OH43,161.3324152,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B14A/OH43,121.4241444,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B14A/OH43,130.4908288,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B14A/OH43,161.430672,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B14A/OH43,187.3483197,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B37/H95,69.82836064,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B37/H95,75.31730552,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B37/H95,84.3383662,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B37/H95,97.07258242,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B37/H95,129.3447553,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B37/H95,138.3039205,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B37/H95,178.3993724,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B37/H95,192.5329907,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B37/MO17,102.7208686,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B37/MO17,104.5774025,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B37/MO17,161.6957878,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B37/MO17,207.3288462,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B37/OH43,30.72568591,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B37/OH43,72.62378064,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B37/OH43,151.8771134,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B37/OH43,176.3020118,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/MO17,159.1944149,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B73/MO17,164.4223426,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B73/MO17,195.968647,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B73/MO17,98.88582901,18.449031758297906,74.62314485,262.8979402199164,0.099129627,0.44787080068143104,181.9679417686232,2.150319863713799,24.20722472,8.041706674926436
B73/MO17,154.6825542,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/MO17,186.5421099,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/MO17,221.3606526,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
B73/MO17,248.1240933,18.970084948999148,81.11255944397024,214.33898305084745,0.08771223,0.36336649676868676,178.84648213632485,1.5628139007438118,24.541961454013173,10.921802219241556
